City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,11.46,90,100,0.89,US,1730787121
1,saipan,15.1355,145.701,29.39,79,75,5.14,MP,1730787122
2,puerto natales,-51.7236,-72.4875,1.73,82,17,3.13,CL,1730787123
3,sao joao da barra,-21.6403,-41.0511,23.35,87,100,7.08,BR,1730787124
4,wailua homesteads,22.0669,-159.378,23.4,93,34,2.49,US,1730787125
5,edinburgh of the seven seas,-37.0676,-12.3116,13.52,70,80,0.78,SH,1730787127
6,nova vicosa,-17.8919,-39.3719,22.86,89,80,3.27,BR,1730787128
7,utrik,11.2278,169.8474,28.56,80,92,6.85,MH,1730787129
8,ta`u,-14.2336,-169.5144,27.33,83,99,7.28,AS,1730787130
9,taizhou,32.4933,119.9106,17.11,44,0,4.14,CN,1730787131
10,port mathurin,-19.6833,63.4167,24.11,79,31,5.69,MU,1730787132
11,akureyri,65.6835,-18.0878,11.96,71,75,9.77,IS,1730787133
12,harper,4.375,-7.7169,24.7,88,86,2.05,LR,1730787135
13,iqaluit,63.7506,-68.5145,-5.15,63,100,1.03,CA,1730787136
14,adamstown,-25.066,-130.1015,21.12,85,100,8.45,PN,1730787138
15,waitangi,-43.9535,-176.5597,11.57,76,40,1.34,NZ,1730787139
16,grytviken,-54.2811,-36.5092,1.86,96,100,5.86,GS,1730787140
17,senanga,-16.1167,23.2667,26.08,53,60,3.04,ZM,1730787142
18,al bardiyah,31.7561,25.0865,18.44,70,33,2.94,LY,1730787143
19,port augusta,-32.5,137.7667,39.99,13,79,9.49,AU,1730787144
20,ribeira brava,32.65,-17.0667,21.51,74,15,0.75,PT,1730787145
21,chegdomyn,51.1167,133.0167,-4.41,82,100,2.0,RU,1730787146
22,fale old settlement,-9.3852,-171.2468,28.42,73,100,5.93,TK,1730787147
23,haro,42.5763,-2.8476,10.28,94,66,1.37,ES,1730787148
24,albany,42.6001,-73.9662,10.47,84,100,1.28,US,1730787150
25,port alfred,-33.5906,26.891,13.43,98,100,2.24,ZA,1730787151
26,invercargill,-46.4,168.35,13.9,74,46,4.02,NZ,1730787152
27,nadym,65.5333,72.5167,-4.29,88,98,9.06,RU,1730787153
28,badger,64.8,-147.5333,-9.45,88,0,3.6,US,1730787155
29,pisco,-13.7,-76.2167,17.79,88,0,1.54,PE,1730787157
30,bredasdorp,-34.5322,20.0403,14.33,50,98,3.26,ZA,1730787158
31,stanley,54.868,-1.6985,8.07,90,100,0.0,GB,1730787159
32,aasiaat,68.7098,-52.8699,-6.28,93,100,1.27,GL,1730787160
33,ilulissat,69.2167,-51.1,-4.99,80,100,1.54,GL,1730787162
34,margaret river,-33.95,115.0667,15.68,55,59,6.83,AU,1730787163
35,west island,-12.1568,96.8225,28.99,79,75,7.2,CC,1730787165
36,chibougamau,49.9168,-74.3659,0.79,100,100,4.63,CA,1730787166
37,mirabad,30.4362,61.8383,31.91,12,0,4.26,AF,1730787167
38,bilibino,68.0546,166.4372,-22.58,99,100,0.7,RU,1730787168
39,robore,-18.3333,-59.75,26.15,64,42,1.66,BO,1730787169
40,yellowknife,62.456,-114.3525,-3.1,99,100,2.57,CA,1730787170
41,port-aux-francais,-49.35,70.2167,6.49,91,100,19.64,TF,1730787172
42,adamovka,51.5223,59.9396,0.82,56,100,6.71,RU,1730787173
43,puerto ayora,-0.7393,-90.3518,19.39,74,55,3.38,EC,1730787174
44,hawaiian paradise park,19.5933,-154.9731,23.28,99,100,5.14,US,1730787175
45,zhosaly,45.4878,64.0781,4.89,48,99,5.05,KZ,1730787176
46,nar'yan-mar,67.6713,53.087,-2.71,89,100,4.35,RU,1730787177
47,zheleznogorsk,52.331,35.3711,-1.26,86,100,5.51,RU,1730787178
48,igarka,67.4667,86.5833,-6.46,94,68,8.13,RU,1730787180
49,bandarbeyla,9.4942,50.8122,27.7,63,35,2.54,SO,1730787181
50,acapulco de juarez,16.8634,-99.8901,26.9,83,100,3.09,MX,1730787120
51,noumea,-22.2763,166.4572,23.72,67,29,8.16,NC,1730787183
52,bonga,7.2833,36.2333,19.54,75,71,1.15,ET,1730787184
53,peniche,39.3558,-9.3811,20.11,92,13,7.94,PT,1730787185
54,cotacachi,0.3,-78.2667,13.22,87,81,0.3,EC,1730787186
55,brokopondo,4.75,-55.1667,25.64,74,21,3.57,SR,1730787188
56,ushuaia,-54.8,-68.3,2.78,99,84,1.5,AR,1730787003
57,langxiang,46.95,128.8833,-0.55,50,98,2.1,CN,1730787190
58,la passe,45.5549,-0.8967,14.11,94,57,4.3,FR,1730787191
59,lospalos,-8.5186,127.0025,29.2,55,97,5.23,TL,1730787192
60,sarkand,45.41,79.9186,11.88,75,100,1.15,KZ,1730787193
61,tiksi,71.6872,128.8694,-23.36,98,88,2.95,RU,1730787196
62,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,51,75,2.0,RU,1730787197
63,aras-asan,8.8908,126.3033,28.36,71,95,2.5,PH,1730787198
64,marsabit,2.3284,37.9899,20.61,71,73,6.67,KE,1730787199
65,xilin hot,43.9667,116.0333,1.54,26,0,4.46,CN,1730787200
66,volokonovka,50.4827,37.8563,-1.81,84,100,5.78,RU,1730787201
67,kaspiyskiy,45.3929,47.3707,4.61,64,100,13.5,RU,1730787203
68,wotho,10.1657,166.0102,27.76,76,80,4.0,MH,1730787204
69,mahina,-17.5065,-149.489,26.87,83,0,2.06,PF,1730787205
70,canavieiras,-15.675,-38.9472,22.71,91,78,1.55,BR,1730787206
71,nuuk,64.1835,-51.7216,-4.66,80,100,3.09,GL,1730787207
72,nizhneangarsk,55.7833,109.55,-3.91,71,94,0.67,RU,1730787208
73,ribeira grande,38.5167,-28.7,20.99,80,50,6.26,PT,1730787209
74,blackmans bay,-43.0167,147.3167,19.18,51,1,3.76,AU,1730787211
75,lebu,-37.6167,-73.65,8.34,90,1,2.05,CL,1730787212
76,hermanus,-34.4187,19.2345,13.78,57,76,5.7,ZA,1730787213
77,whitehorse,60.7161,-135.0538,-11.57,92,0,2.06,CA,1730787214
78,lucea,18.451,-78.1736,25.92,83,99,5.2,JM,1730787215
79,yazd,31.8972,54.3675,24.06,27,0,3.09,IR,1730787216
80,wanning,18.8003,110.3967,26.29,80,66,7.17,CN,1730787217
81,fort st. john,56.2499,-120.8529,-0.06,80,100,1.54,CA,1730787220
82,hoa binh,20.8133,105.3383,21.65,77,100,0.93,VN,1730787221
83,avarua,-21.2078,-159.775,24.03,94,100,0.51,CK,1730787223
84,coquimbo,-29.9533,-71.3436,12.85,86,0,1.54,CL,1730787224
85,ingeniero jacobacci,-41.3427,-69.5448,5.97,64,6,14.46,AR,1730787226
86,trimbak,19.9333,73.55,27.63,39,0,3.51,IN,1730787227
87,kodiak,57.79,-152.4072,4.73,87,100,19.03,US,1730787228
88,jardin america,-27.0435,-55.227,20.75,93,0,0.72,AR,1730787229
89,ust-nera,64.5667,143.2,-25.21,100,73,0.45,RU,1730787230
90,tweed heads,-28.1817,153.547,24.02,88,26,4.63,AU,1730787233
91,peitz,51.8584,14.4114,3.99,92,5,3.07,DE,1730787234
92,makokou,0.5738,12.8642,21.64,97,100,0.49,GA,1730787235
93,bintulu,3.1667,113.0333,32.23,70,40,4.12,MY,1730787236
94,san antonio de pale,-1.4014,5.6325,25.28,83,100,4.23,GQ,1730787237
95,bom jesus da lapa,-13.255,-43.4181,24.63,48,97,1.49,BR,1730787238
96,rongelap,11.1635,166.8941,28.38,74,93,4.69,MH,1730787239
97,college,64.8569,-147.8028,-9.4,83,20,3.6,US,1730787241
98,weno,7.4515,151.8468,31.97,74,75,2.06,FM,1730787242
99,namibe,-15.1961,12.1522,20.31,78,55,3.91,AO,1730787243
100,dalbandin,28.8947,64.4101,30.25,14,0,1.01,PK,1730787244
101,prince george,53.9166,-122.753,1.69,91,75,6.69,CA,1730787246
102,gharyan,32.1722,13.0203,16.0,66,22,1.46,LY,1730787247
103,udachny,66.4167,112.4,-10.71,84,97,10.77,RU,1730787249
104,tralee,52.2704,-9.7026,12.13,96,83,2.68,IE,1730787250
105,dudinka,69.4058,86.1778,-6.73,94,61,8.3,RU,1730787251
106,sungailiat,-1.85,106.1333,29.09,69,40,3.9,ID,1730787252
107,sandnessjoen,66.0217,12.6316,9.06,93,75,5.14,NO,1730787253
108,klyuchi,52.2667,79.1667,3.03,46,17,2.07,RU,1730787254
109,susuman,62.7833,148.1667,-25.9,100,98,1.37,RU,1730787255
110,nova sintra,14.8667,-24.7167,26.14,76,6,4.99,CV,1730787257
111,peace river,56.2501,-117.286,-0.83,93,20,1.54,CA,1730787258
112,gulu,2.7746,32.299,20.03,91,99,0.28,UG,1730787259
113,atafu village,-8.5421,-172.5159,28.17,72,100,5.46,TK,1730787260
114,demre,36.2537,29.9777,18.71,32,50,0.93,TR,1730787261
115,at taj,24.2049,23.2857,16.22,52,0,2.54,LY,1730787262
116,bubaque,11.2833,-15.8333,28.23,76,0,2.19,GW,1730787264
117,nuku'alofa,-21.1333,-175.2,22.19,88,40,3.6,TO,1730787265
118,cabo san lucas,22.8909,-109.9124,22.09,65,65,1.49,MX,1730787193
119,mainaguri,26.5667,88.8167,25.88,57,56,1.62,IN,1730787267
120,priozersk,61.0393,30.1291,0.61,86,100,2.71,RU,1730787268
121,sarandi del yi,-33.35,-55.6333,16.02,96,100,6.68,UY,1730787269
122,katsuren-haebaru,26.3369,127.8719,26.01,70,75,6.17,JP,1730787271
123,tutong,4.8,114.65,27.4,80,100,2.29,BN,1730787272
124,flying fish cove,-10.4217,105.6791,28.82,83,100,4.63,CX,1730787273
125,westport,41.1415,-73.3579,11.87,87,100,0.0,US,1730787274
126,st. john's,47.5649,-52.7093,1.1,69,75,4.12,CA,1730787275
127,puerto baquerizo moreno,-0.9,-89.6,19.95,70,71,4.73,EC,1730787276
128,ardesen,41.1911,40.9875,10.37,89,99,6.68,TR,1730787277
129,mormugao,15.4,73.8,29.59,66,40,2.57,IN,1730787279
130,nemuro,43.3236,145.575,8.63,57,44,6.6,JP,1730787280
131,anadyr,64.75,177.4833,-7.72,78,40,8.0,RU,1730787281
132,lamu,-2.2717,40.902,28.47,70,55,1.9,KE,1730787282
133,tindouf,27.6711,-8.1474,19.25,24,0,2.57,DZ,1730787283
134,mount gambier,-37.8333,140.7667,23.07,38,13,3.5,AU,1730787284
135,bulungu,-4.55,18.6,21.53,97,100,0.17,CD,1730787285
136,mount pearl,47.5166,-52.7813,0.64,71,75,4.12,CA,1730787287
137,champerico,14.3,-91.9167,26.65,85,100,3.72,GT,1730787288
138,scarborough,54.2797,-0.4044,10.92,65,99,1.1,GB,1730787289
139,parabel',58.6978,81.4825,0.32,69,99,7.84,RU,1730787290
140,carnarvon,-24.8667,113.6333,22.87,59,0,9.6,AU,1730787291
141,masaka,-0.3338,31.7341,21.07,69,99,3.49,UG,1730787292
142,longyearbyen,78.2186,15.6401,-2.09,59,75,6.17,SJ,1730786854
143,hotan,37.0997,79.9269,17.84,19,22,4.6,CN,1730787296
144,keflavik,64.0049,-22.5624,10.24,100,100,13.89,IS,1730787297
145,masterton,-40.9597,175.6575,14.42,87,90,0.55,NZ,1730787298
146,guerrero negro,27.9769,-114.0611,17.48,60,0,5.67,MX,1730787301
147,vilyuysk,63.7553,121.6247,-15.87,94,60,2.22,RU,1730787303
148,hithadhoo,-0.6,73.0833,28.12,68,26,2.8,MV,1730787304
149,cuellar,41.3679,-4.3084,10.9,82,98,1.66,ES,1730787305
150,piacabucu,-10.4056,-36.4344,23.43,74,9,3.54,BR,1730787306
151,qaqortoq,60.7167,-46.0333,-11.65,77,9,3.71,GL,1730787308
152,ulladulla,-35.35,150.4667,19.26,70,98,5.57,AU,1730787309
153,margate,51.3813,1.3862,9.93,88,80,2.45,GB,1730787310
154,codrington,-38.2667,141.9667,18.2,59,0,7.16,AU,1730787311
155,yurga,55.7231,84.8861,1.51,60,38,7.44,RU,1730787312
156,papatowai,-46.5619,169.4708,12.6,68,42,3.95,NZ,1730787315
157,marsh harbour,26.5412,-77.0636,25.68,83,78,11.48,BS,1730787316
158,irati,-25.4672,-50.6511,17.44,99,100,0.73,BR,1730787317
159,palmer,42.1584,-72.3287,9.06,83,100,2.06,US,1730787318
160,selfoss,63.9331,-20.9971,10.58,98,100,9.6,IS,1730787319
161,tolanaro,-25.0319,46.9987,25.04,83,75,10.8,MG,1730787320
162,antsiranana,-12.2787,49.2917,29.71,61,9,6.63,MG,1730787322
163,polyarnyy,69.1989,33.4478,-2.3,89,89,4.61,RU,1730787323
164,kanggye,40.9695,126.5852,6.79,33,55,1.57,KP,1730787324
165,remire-montjoly,4.9167,-52.2667,24.02,100,0,1.54,GF,1730787325
166,calama,-22.4667,-68.9333,10.27,27,0,8.23,CL,1730787326
167,carutapera,-1.195,-46.02,23.62,88,48,1.91,BR,1730787327
168,daru,-9.0763,143.2092,27.88,82,91,6.52,PG,1730787329
169,jamestown,42.097,-79.2353,15.01,55,100,5.14,US,1730787330
170,ternate,0.8,127.4,28.38,74,89,5.26,ID,1730787331
171,zacharo,37.4833,21.65,16.16,64,0,2.9,GR,1730787332
172,alto araguaia,-17.3147,-53.2153,19.65,97,100,1.87,BR,1730787333
173,paranagua,-25.52,-48.5092,21.19,99,100,0.86,BR,1730787334
174,praia da vitoria,38.7333,-27.0667,18.14,72,40,5.69,PT,1730787335
175,santa cruz,-17.8,-63.1667,24.7,94,67,1.54,BO,1730787337
176,lagunas,-5.2269,-75.6753,25.48,73,50,1.12,PE,1730787338
177,ubatuba,-23.4339,-45.0711,19.19,95,93,1.25,BR,1730787339
178,pierre,44.3683,-100.351,2.38,100,0,2.24,US,1730787340
179,gadzhiyevo,69.2551,33.3362,-2.14,90,92,4.87,RU,1730787341
180,pacific grove,36.6177,-121.9166,14.1,80,0,1.79,US,1730787180
181,grand baie,-20.0182,57.5802,28.02,68,1,3.58,MU,1730787344
182,saldanha,-33.0117,17.9442,16.03,55,0,7.39,ZA,1730787345
183,limulunga,-15.0969,23.1376,25.84,55,53,2.7,ZM,1730787346
184,georgetown,5.4112,100.3354,28.97,70,20,3.13,MY,1730787347
185,cold lake,54.4502,-110.2017,-1.03,86,100,1.54,CA,1730787348
186,touros,-5.1989,-35.4608,25.86,71,23,6.65,BR,1730787349
187,viedma,-40.8135,-62.9967,15.09,33,7,5.15,AR,1730787350
188,taos,36.4072,-105.5731,1.78,92,100,5.14,US,1730787352
189,pindushi,62.9152,34.58,-1.63,76,84,2.37,RU,1730787353
190,tazacorte,28.629,-17.9293,19.54,73,0,3.09,ES,1730787354
191,fuerte olimpo,-21.0415,-57.8738,25.4,68,2,1.8,PY,1730787355
192,la'ie,21.6477,-157.9253,25.66,87,47,4.47,US,1730787356
193,geraldton,-28.7667,114.6,22.23,46,75,8.23,AU,1730787257
194,ponta delgada,37.7333,-25.6667,20.4,94,75,2.57,PT,1730787360
195,marion,39.7684,-86.1555,20.19,74,75,8.23,US,1730787361
196,manicore,-5.8092,-61.3003,22.91,98,100,1.03,BR,1730787362
197,shizuishan,39.2333,106.7694,10.35,37,9,1.83,CN,1730787363
198,kragero,58.8693,9.4149,5.83,87,84,2.25,NO,1730787364
199,itapipoca,-3.4944,-39.5786,24.53,75,56,4.35,BR,1730787366
200,mapimi,25.8167,-103.85,16.97,40,0,2.76,MX,1730787367
201,vikarabad,17.3333,77.9,27.7,39,2,3.15,IN,1730787368
202,novoishimskiy,53.1981,66.7694,0.97,54,97,6.21,KZ,1730787369
203,buala,-8.145,159.5921,27.63,81,99,2.29,SB,1730787370
204,kavieng,-2.5744,150.7967,29.64,68,64,3.64,PG,1730787373
205,vilhena,-12.7406,-60.1458,20.37,96,89,2.81,BR,1730787374
206,fort bragg,35.139,-79.006,15.51,94,0,1.54,US,1730787375
207,luisant,48.4295,1.4738,7.83,97,94,0.45,FR,1730787376
208,enewetak,11.3474,162.3373,26.99,77,99,4.58,MH,1730787378
209,port lincoln,-34.7333,135.8667,20.18,68,82,8.19,AU,1730787379
210,ringkobing,56.0901,8.244,6.99,100,100,2.06,DK,1730787381
211,vershino-darasunskiy,52.35,115.5167,-4.26,41,0,2.28,RU,1730787382
212,olonkinbyen,70.9221,-8.7187,0.47,89,82,8.68,SJ,1730787383
213,axim,4.8699,-2.2405,24.54,87,42,0.83,GH,1730787384
214,cuajinicuilapa,16.4667,-98.4167,24.22,94,8,1.22,MX,1730787385
215,bismarck,46.8083,-100.7837,-1.52,93,0,3.6,US,1730787386
216,puerto deseado,-47.7503,-65.8938,9.87,38,41,11.87,AR,1730787388
217,ust'-kulom,61.6864,53.6902,-5.62,81,40,2.6,RU,1730787389
218,crucecita,-28.95,-58.9833,19.29,92,53,4.4,AR,1730787390
219,kismayo,-0.3582,42.5454,28.82,70,67,4.01,SO,1730787391
220,san patricio,28.017,-97.5169,26.97,86,38,7.39,US,1730787392
221,khost,33.3395,69.9204,23.58,24,7,1.55,AF,1730787393
222,isafjordur,66.0755,-23.124,4.64,98,99,5.49,IS,1730787394
223,lakatoro,-16.0999,167.4164,26.18,62,100,5.69,VU,1730787396
224,howard springs,-12.497,131.047,34.95,29,100,4.59,AU,1730787397
225,vila franca do campo,37.7167,-25.4333,20.23,99,95,4.22,PT,1730787398
226,kalecik,40.0972,33.4083,6.38,57,2,1.91,TR,1730787399
227,lazaro cardenas,17.9583,-102.2,24.78,90,5,2.13,MX,1730787400
228,herval,-32.0236,-53.3956,17.16,98,100,3.15,BR,1730787401
229,p'ot'i,42.1462,41.672,11.31,61,100,11.97,GE,1730787403
230,cisternino,40.7445,17.4243,13.18,94,26,3.23,IT,1730787404
231,selibaby,15.159,-12.1829,27.35,23,0,4.11,MR,1730787405
232,aykhal,66.0,111.5,-12.08,94,99,7.25,RU,1730787406
233,minas de barroteran,27.6333,-101.2833,20.16,38,0,4.93,MX,1730787407
234,onguday,50.75,86.15,3.61,100,100,0.39,RU,1730787408
235,kiboga,0.9161,31.7742,18.86,91,100,0.8,UG,1730787409
236,tazovsky,67.4667,78.7,-5.86,93,100,7.2,RU,1730787411
237,custodia,-8.0875,-37.6431,19.33,73,14,2.91,BR,1730787412
238,birjand,32.8663,59.2211,26.26,17,0,3.09,IR,1730787413
239,cabanas,22.9758,-82.9219,24.68,89,16,4.32,CU,1730787414
240,khilok,51.3674,110.4676,1.43,33,4,0.98,RU,1730787415
241,saint-louis,16.3333,-15.0,27.31,17,12,2.72,SN,1730787416
242,thompson,55.7435,-97.8558,0.09,93,100,3.6,CA,1730787418
243,lautoka,-17.6167,177.4667,27.92,69,40,3.6,FJ,1730787419
244,porbandar,21.6422,69.6093,32.99,40,0,4.12,IN,1730787420
245,bonyhad,46.2992,18.5302,3.48,82,1,1.8,HU,1730787421
246,mahanje,-9.9333,35.3333,26.67,48,3,2.69,TZ,1730787422
247,aadorf,47.492,8.901,6.73,85,26,0.61,CH,1730787423
248,gbarnga,6.9956,-9.4722,20.66,99,93,1.08,LR,1730787424
249,tsiombe,-25.3,45.4833,30.79,48,0,3.8,MG,1730787426
250,lompoc,34.6391,-120.4579,13.4,57,0,2.06,US,1730787147
251,alice springs,-23.7,133.8833,39.75,11,63,3.09,AU,1730787428
252,ozernyy,55.5802,32.4127,-1.9,94,93,2.71,RU,1730787429
253,reggane,26.7158,0.1714,25.72,17,84,4.6,DZ,1730787430
254,tadine,-21.55,167.8833,23.53,67,64,3.85,NC,1730787431
255,tanjung pinang,0.9167,104.45,29.65,68,53,2.96,ID,1730787432
256,uturoa,-16.7333,-151.4333,26.49,84,99,4.47,PF,1730787434
257,iskateley,67.6803,53.1512,-2.72,90,100,4.31,RU,1730787435
258,hadibu,12.65,54.0333,27.53,60,1,1.79,YE,1730787436
259,fort mcmurray,56.7268,-111.381,-6.23,93,100,2.57,CA,1730787437
260,burang,30.25,81.1667,8.48,12,0,3.34,CN,1730787438
261,hamilton,39.1834,-84.5333,20.43,73,0,7.2,US,1730787439
262,vadso,70.0744,29.7487,-0.91,86,20,2.06,NO,1730787441
263,namtsy,62.7161,129.6658,-20.53,96,20,0.24,RU,1730787442
264,ebon,4.582,168.6964,29.12,72,52,6.33,MH,1730787443
265,maumere,-8.6199,122.2111,31.22,52,61,1.53,ID,1730787444
266,volosovo,59.4333,29.4833,-1.08,97,96,1.59,RU,1730787445
267,kurumkan,54.3,110.3,-5.17,74,70,0.97,RU,1730787446
268,valle nacional,17.7833,-96.3167,25.08,96,100,1.17,MX,1730787448
269,new norfolk,-42.7826,147.0587,19.28,30,0,1.56,AU,1730787449
270,santiago de cao,-7.9589,-79.2392,17.07,88,100,3.6,PE,1730787450
271,psebay,44.1234,40.8107,-1.34,79,51,2.99,RU,1730787451
272,sisimiut,66.9395,-53.6735,-7.65,85,70,2.68,GL,1730787452
273,snyder,32.7179,-100.9176,11.19,62,75,7.72,US,1730787453
274,kapa'a,22.0752,-159.319,24.15,93,29,2.8,US,1730787454
275,san fernando de apure,7.8878,-67.4724,23.69,95,98,1.11,VE,1730787456
276,punta arenas,-53.15,-70.9167,5.06,70,40,6.17,CL,1730787457
277,qubadli,39.344,46.582,10.46,63,8,0.84,AZ,1730787458
278,talnakh,69.4865,88.3972,-7.75,97,98,3.92,RU,1730787460
279,lewistown,40.5992,-77.5714,7.67,93,0,0.0,US,1730787461
280,leua,48.2156,18.6071,3.2,68,4,1.64,SK,1730787464
281,mabaruma,8.2,-59.7833,23.54,98,89,0.33,GY,1730787465
282,loreto,22.2667,-101.9667,11.99,52,0,0.95,MX,1730787466
283,terrace,54.5163,-128.6035,3.95,100,75,6.17,CA,1730787467
284,nyurba,63.2842,118.3319,-14.41,92,45,2.36,RU,1730787468
285,faaa,-17.55,-149.6,26.98,83,0,2.06,PF,1730787469
286,hassi messaoud,31.6804,6.0729,16.92,42,0,2.06,DZ,1730787471
287,vorgashor,67.5833,63.95,-3.89,95,100,6.12,RU,1730787472
288,tynda,55.1667,124.7167,-10.29,65,75,2.3,RU,1730787473
289,tabou,4.423,-7.3528,24.66,88,61,1.29,CI,1730787474
